ParticipantID,NLL,Recovered_lr,Synthetic_lr,Recovered_vunsamp,Synthetic_vunsamp,Recovered_vsamp,Synthetic_vsamp,Recovered_gamma1,Synthetic_gamma1,Recovered_gamma2,Synthetic_gamma2,Recovered_lam,Synthetic_lam,Recovered_kappa_a,Synthetic_kappa_a,Recovered_prior_r,Synthetic_prior_r
13,3.4669407983251728,4.0,3.492981679263875,0.5761961787180881,0.4803849822355048,0.0,0.0928392477741509,16.762980644419997,0.4904497410926445,20.0,14.116196023220972,10.0,9.791274909582173,4.165423326370579,3.925826314761534,0.6531111288414443,0.6588357181072506
14,10.379804785607938,1.427544713837957,2.7017900627120794,0.7037096209277164,0.7159524392687987,0.24274292135256387,0.0360160071053793,18.91876059868153,5.293632634337079,15.662095265837015,13.907950719431048,10.0,8.669883296077439,4.316417259531525,3.373034359084121,0.24844888459851172,0.305765676790059
15,18.917567849011736,4.0,3.745233839782773,0.8938709219852008,0.8130408300997676,0.0,0.0780108895260957,12.24876334286243,3.86000075148506,20.0,5.503860612210534,10.0,7.384118706046068,4.3966813749759055,4.296866641504285,0.5872168075222276,0.5469934324709308
16,3.1413178378991202,1.9888540002750432,0.7985822826066489,0.495219581461398,0.3735808988592262,0.10449723798461734,0.1240732802376964,3.2604778118816196,18.34792373716849,14.474484300002949,15.290618808209471,10.0,5.102138338060776,5.0,2.2678752158541897,0.2,0.258705247007342
17,25.824173038318584,2.9596676367584958,1.2747014252013091,0.14764639463307846,0.1085695158216568,0.7405356598355862,0.7041042570260341,13.125610534078616,10.897674133523893,0.6094836584692991,4.5455476283031775,10.0,2.242028392559363,3.822347918806876,1.3019909875789275,0.3186079396782448,0.3853236513897536
18,2.0794415577159064,3.4352583076083896,1.5508205271256394,0.2863747441641763,0.2677940391395135,0.6363481700089192,0.6116003050798353,12.067193278440495,0.7014723861015781,15.682573249128486,6.562206298627363,9.400434544467165,7.452918728580155,4.826079646630706,4.714039925376424,0.8,0.6816395300945308
19,128.7056403762496,0.5724314815847424,0.963304838286216,0.2133011608708044,0.2096239215454485,0.16311828538246614,0.1713031152454702,16.372848526807235,17.649950697172187,10.42416086471598,4.757113744824397,6.899875536506869,7.581806234131275,0.31098845392888264,1.3052486570234327,0.21600754491109248,0.2198491060445093
20,18.35468688894233,4.0,2.933790800275064,0.7088239986020858,0.6535816288156808,0.0,0.0800631998649481,3.085984133819814,6.534025158592032,20.0,18.96730580378045,6.769033371552349,1.6294899858218448,1.4950195698186481,0.4333623632645506,0.8,0.5567623328669756
21,112.25753256897482,4.0,3.723959461383888,0.1533643894531816,0.1204004769687822,0.5124227674617918,0.461711064294016,4.123137777227639,13.679984282339152,2.1698185360721727,3.4365951921365423,0.4137008212946364,0.1125989349218947,5.0,4.438415652398624,0.550903857327413,0.2211387623920157
22,155.6053870646586,4.0,1.0298331352306982,0.776804741078469,0.5865156285666017,0.9,0.257204640020186,0.004390568565033787,0.1941519314963313,20.0,11.509036689299649,5.851801073284576,3.077922783347105,4.132813817029214,0.7575703092606156,0.8,0.7827699870395481
23,102.62134136656304,0.12709034342120548,0.6598890715958099,0.5568573868176784,0.6545118970289494,0.666474381426121,0.8016517723441617,20.0,17.174302314538906,4.645148190404203,3.685141343168936,10.0,2.368085336942393,0.07847190316898751,0.091813182512862,0.7968761061262652,0.7588432803589127
