ParticipantID,NLL,Recovered_lr,Synthetic_lr,Recovered_vunsamp,Synthetic_vunsamp,Recovered_vps,Synthetic_vps,Recovered_lam,Synthetic_lam,Recovered_kappa_a,Synthetic_kappa_a,Recovered_prior_r,Synthetic_prior_r,Recovered_a_bs,Synthetic_a_bs,Recovered_ndt,Synthetic_ndt,Recovered_v_stage_0,Synthetic_v_stage_0,Recovered_v_stage_1,Synthetic_v_stage_1
11,-4.109281489221445,1.0871453102020712,1.1499924081647506,0.8456736588082803,0.861502808136954,0.6163757570433163,0.6320841793153267,3.935097142430257,6.250155931933211,5.0,4.6536736657507385,0.383187859383711,0.3614254323511511,3.211468231257622,3.7173782614608144,0.6733640822200593,0.6780829341239825,2.2341504157628806,7.7136250720146196,7.7954314532427045,5.716353364349514
12,-0.8690349968804741,3.238964194800521,3.335618709996933,0.6554290400542571,0.6284536193626764,0.06556353144882802,0.1319478315992181,3.033685623756521,6.124611286280749,0.7881767394755274,1.3966016780816592,0.6645431596957421,0.7495272338403802,1.028274253635275,1.0334594737775689,0.2874827785214506,0.2857164953713028,0.9283652552184248,0.4765470496967894,10.0,4.475791440506382
13,-2.1342495588746626,2.167220514995725,2.230351260684447,0.5215689116164576,0.5162049743193857,0.8096923893416162,0.8148396419637057,3.1692992343570863,3.474139328006051,2.1258873059063492,2.2376418979562764,0.7024864885997762,0.7107425975008985,2.3806377862504,2.434268421958492,0.655051741686715,0.6539929348777337,3.055511817773854,2.78359330394316,5.370765525974617,4.87471301625849
14,-1.782135503868803,2.801532317175712,2.483809550321889,0.11970821440247906,0.1200546271307159,0.021043829200992473,0.029617844933281,1.5732858180929932,1.1341100113082614,2.666562397538676,2.387305381698265,0.2352678970326626,0.2144160407784851,2.7581178276706684,2.6169730378077203,0.09601332919482702,0.0975826179760844,1.9399153615832603,2.5096153771624574,3.2830526643027325,4.264929458562184
15,-4.910304857986252,0.5384207759298434,0.4633069868249961,0.2397657696555748,0.2434967944177198,0.03392775442430815,0.0189717055519601,8.467752135683222,9.850455536104691,3.5353551689559266,3.057868040607053,0.41714304999116514,0.4270123033011495,0.3916953629507787,0.3981548991086618,0.38958375791153904,0.3898387483749842,2.365223645395931,4.525586263864343,8.462869607448193,9.310031937645029
16,0.04779605090254582,0.022772882881751687,1.1140166873522266,0.2626077049353113,0.5533037019749691,0.747560686837396,0.5986515191239741,0.1303813774354864,1.8596096979633887,4.999995458870844,2.528816744932159,0.8,0.6719004577159611,0.674709876957766,0.65734242738513,0.5973511966450039,0.6060352981689622,0.020151410067667228,0.2605993268839324,10.0,0.0704672381007565
17,-1.6977186434287803,0.22398253282953767,0.2381144285602854,0.4260775146166222,0.4332604132341328,0.8327463139899122,0.8331336978212078,9.998950447695622,4.055573841390242,0.8193981955907536,0.375163196682704,0.7122011140172593,0.7168114846898173,2.3230878580963026,2.221401066240629,0.3186634970905131,0.3189358689174241,4.074113703055362,9.630323387846756,3.8788967638056775,9.382617685023783
18,-3.1822233312367434,0.9784075206000936,1.0400758878267693,0.17762540400108429,0.1812526683423482,0.5303542124300363,0.5300178329754696,9.999997846544664,8.42518209841559,1.8149753639697688,1.6836054487252743,0.5528021659864155,0.551857652878557,0.897356856934771,0.9003064980715887,0.1950332497658882,0.1945937352381418,6.516615266233837,7.613352159920956,1.29191647669898,1.5009846135204996
19,1.4971512554941424,0.825739823883768,1.06362816419131,0.6296763344597682,0.6205453768599025,0.0,0.0135803768696811,0.3250541905085036,0.3219440386857053,1.3580681685741713,1.4376297001201432,0.44834549345606073,0.4019739083073795,1.6385098025572293,1.6401995904610414,0.8163905744869989,0.8071905755135196,0.3855700173020082,0.3598096765864189,4.590380649502001,3.5839524462532517
20,-3.640152785803379,2.5004325094003947,2.553112533067297,0.13013320355582675,0.1287036985664904,0.7711083149965287,0.7719647530602965,5.616786579265811,6.455644082734327,0.5202486018432148,0.5764671274001354,0.32305434468383504,0.3248584459993683,2.940542285972246,3.058343823768209,0.4036205242864304,0.4034066283341728,5.290159984337164,4.844700609485067,9.767360757149955,8.874550780727276
21,0.9458058577444437,0.4884760518060917,0.5497741984969235,0.9,0.8679355176475059,0.0,0.0383667136169219,5.419969785374524,0.994402572548848,3.9490464074678826,1.1161921547022176,0.6671088637571546,0.6839510493563086,1.9236525511365108,1.986729387267159,0.6819413915108666,0.6532511422613194,0.09489708976227704,1.7432113751983724,0.2734005446184259,1.6672193292652826
22,-5.022089399821939,2.0178858149958585,2.0833933622151566,0.659194780494404,0.6662642717521995,0.4043120647718142,0.4162270186935256,7.158610305514476,8.696140851211128,3.153090840929258,3.302059673353201,0.35543656028363185,0.3494540530711597,1.0880145595649073,1.169138216967788,0.3737346438277682,0.3740467168670696,7.141027096442935,7.566160562962172,9.99937076159608,9.379376643097824
23,-3.7573499700738004,3.4217790667113412,3.447623997275332,0.23409343872649963,0.2354497134146295,0.38221713971757515,0.3710510351807128,4.872270240578152,6.115440994503215,2.5868327179312285,2.7341722790790417,0.41910728933435554,0.4335649672453794,0.6425460835239838,0.6752568744607239,0.712705395178347,0.7122448043972556,0.9791482898533723,0.8813516392543386,9.967366615569446,8.660774293737196
